name,size_of_the_bottle,MRP_of_the_bottle,price_of_the_bottle,1mg_url
Dr. Reckeweg Carbo Veg Dilution 30 CH,bottle of 11 ml Dilution,₹145,₹140,https://www.1mg.com/otc/dr.-reckeweg-carbo-veg-dilution-30-ch-otc326855
SBL Thuja Ointment,tube of 25 gm Ointment,₹75,₹70,https://www.1mg.com/otc/sbl-thuja-ointment-otc331009
SBL Stobal Cough Syrup,bottle of 115 ml Syrup,₹115,₹109,https://www.1mg.com/otc/sbl-stobal-cough-syrup-otc328987
Dr. Reckeweg R14 Nerve And Sleep Drop,bottle of 22 ml Drop,₹285,₹247,https://www.1mg.com/otc/dr.-reckeweg-r14-nerve-and-sleep-drop-otc326070
SBL Arsenicum Album Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹109,https://www.1mg.com/otc/sbl-arsenicum-album-dilution-200-ch-otc345914
SBL FP Ointment,tube of 25 gm Ointment,₹80,₹70,https://www.1mg.com/otc/sbl-fp-ointment-otc330996
New Life Bach Flower Rescue Remedy 30,bottle of 100 ml Dilution,₹250,₹245,https://www.1mg.com/otc/new-life-bach-flower-rescue-remedy-30-otc701188
SBL Thuja Roll-On,bottle of 10 ml Liquid,₹50,₹49,https://www.1mg.com/otc/sbl-thuja-roll-on-otc337713
Dr. Reckeweg Kalmegh Mother Tincture Q,bottle of 20 ml Mother Tincture,₹360,₹339,https://www.1mg.com/otc/dr.-reckeweg-kalmegh-mother-tincture-q-otc327588
SBL Gymnema Sylvestre Mother Tincture Q,bottle of 30 ml Mother Tincture,₹105,₹97,https://www.1mg.com/otc/sbl-gymnema-sylvestre-mother-tincture-q-otc338482
SBL Tribulus Terrestris Mother Tincture Q,bottle of 30 ml Mother Tincture,₹105,₹101,https://www.1mg.com/otc/sbl-tribulus-terrestris-mother-tincture-q-otc348982
ADEL 82 Hepat Liver Tonic Drop,bottle of 150 ml Drop,₹520,₹459,https://www.1mg.com/otc/adel-82-hepat-liver-tonic-drop-otc723949
Medisynth Wartex Cream,tube of 20 gm Cream,₹100,₹97,https://www.1mg.com/otc/medisynth-wartex-cream-otc339265
Bakson's Homeopathy Kof Aid Tablet,bottle of 75 tablets,₹215,₹178,https://www.1mg.com/otc/bakson-s-homeopathy-kof-aid-tablet-otc327314
Dr. Reckeweg Nux Vomica Dilution 200 CH,bottle of 11 ml Dilution,₹170,₹165,https://www.1mg.com/otc/dr.-reckeweg-nux-vomica-dilution-200-ch-otc336265
SBL Damiana Mother Tincture Q,bottle of 30 ml Mother Tincture,₹150,₹144,https://www.1mg.com/otc/sbl-damiana-mother-tincture-q-otc338489
Dr. Reckeweg Rhus Tox Dilution 30 CH,bottle of 11 ml Dilution,₹145,₹140,https://www.1mg.com/otc/dr.-reckeweg-rhus-tox-dilution-30-ch-otc326469
Medisynth Jondila Forte Syrup,bottle of 120 ml Syrup,₹120,₹107,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787791
Medisynth Jondila Sugar Free Syrup,bottle of 200 ml Syrup,₹170,₹166,https://www.1mg.com/otc/medisynth-jondila-sugar-free-syrup-otc339314
SBL Cineraria Maritima Euphrasia Eye Drop,bottle of 10 ml Eye Drop,₹125,₹118,https://www.1mg.com/otc/sbl-cineraria-maritima-euphrasia-eye-drop-otc329019
Medisynth Jondila Forte Syrup,bottle of 450 ml Syrup,₹320,₹300,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787798
Wheezal Mel-X Melasma Cream,tube of 25 gm Cream,₹135,₹131,https://www.1mg.com/otc/wheezal-mel-x-melasma-cream-otc713516
Dr. Reckeweg R6 Influenza Drop,bottle of 22 ml Drop,₹285,₹279,https://www.1mg.com/otc/dr.-reckeweg-r6-influenza-drop-otc326076
Medisynth Jondila Forte Syrup,bottle of 200 ml Syrup,₹170,₹166,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787795
Dr Willmar Schwabe India Alpha-Liv Liver Tonic,bottle of 500 ml Tonic,₹350,₹298,https://www.1mg.com/otc/dr-willmar-schwabe-india-alpha-liv-liver-tonic-otc492430
Dr. Reckeweg Lycopodium Dilution 30 CH,bottle of 11 ml Dilution,₹145,₹130,https://www.1mg.com/otc/dr.-reckeweg-lycopodium-dilution-30-ch-otc327871
Dr. Reckeweg Syzygium Jamb Mother Tincture Q,bottle of 20 ml Mother Tincture,₹270,₹234,https://www.1mg.com/otc/dr.-reckeweg-syzygium-jamb-mother-tincture-q-otc327494
SBL Ginseng Mother Tincture Q,bottle of 30 ml Mother Tincture,₹365,₹302,https://www.1mg.com/otc/sbl-ginseng-mother-tincture-q-otc338483
Medisynth Diabekoll Non-Sugar Syrup,bottle of 450 ml Syrup,₹320,₹270,https://www.1mg.com/otc/medisynth-diabekoll-non-sugar-syrup-otc789787
Bakson's Homeopathy Tonsil Aid Tablet,bottle of 200 tablets,₹500,₹415,https://www.1mg.com/otc/bakson-s-homeopathy-tonsil-aid-tablet-otc386768
SBL Euphrasia 10% Eye Drop,bottle of 10 ml Eye Drop,₹90,₹87.3,https://www.1mg.com/otc/sbl-euphrasia-10-eye-drop-otc326104
SBL Passiflora Incarnata Mother Tincture Q,bottle of 30 ml Mother Tincture,₹125,₹110,https://www.1mg.com/otc/sbl-passiflora-incarnata-mother-tincture-q-otc338434
Wheezal Mel-X Melasma Tablet,bottle of 30 tablets,₹125,₹111,https://www.1mg.com/otc/wheezal-mel-x-melasma-tablet-otc713520
Dr. Reckeweg Sulphur Dilution 200,bottle of 11 ml Dilution,₹170,₹153,https://www.1mg.com/otc/dr.-reckeweg-sulphur-dilution-200-otc331625
SBL Bio-Combination 17 Tablet,bottle of 25 gm Biocombination Tablet,₹110,₹107,https://www.1mg.com/otc/sbl-bio-combination-17-tablet-otc331065
SBL Hepar Sulphur Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹94,https://www.1mg.com/otc/sbl-hepar-sulphur-dilution-30-ch-otc338323
SBL Guatteria Gaumeri Mother Tincture Q,bottle of 30 ml Mother Tincture,₹330,₹303,https://www.1mg.com/otc/sbl-guatteria-gaumeri-mother-tincture-q-otc746024
Dr. Reckeweg Five Phos 6X Tablet,bottle of 20 gm Tablet,₹200,₹194,https://www.1mg.com/otc/dr.-reckeweg-five-phos-6x-tablet-otc653785
New Life NL-3 Blood Cholestrol Drop,bottle of 30 ml Drop,₹160,₹152,https://www.1mg.com/otc/new-life-nl-3-blood-cholestrol-drop-otc326170
SBL Justicia Adhatoda Mother Tincture Q,bottle of 30 ml Mother Tincture,₹105,₹99,https://www.1mg.com/otc/sbl-justicia-adhatoda-mother-tincture-q-otc338444
Bakson's Homeopathy Gastro Aid Tablet,bottle of 75 tablets,₹215,₹154,https://www.1mg.com/otc/bakson-s-homeopathy-gastro-aid-tablet-otc326081
Allen A87 Creatinine & Blood Urea Drop,bottle of 30 ml Drop,₹170,₹150,https://www.1mg.com/otc/allen-a87-creatinine-blood-urea-drop-otc330464
Bakson's Homeopathy Biocombination 7 Tablet,bottle of 4500 biocombination tablets,₹720,₹696,https://www.1mg.com/otc/bakson-s-homeopathy-biocombination-7-tablet-otc695069
Dr. Reckeweg Bio-Combination 20 (BC 20) Tablet,bottle of 20 gm Biocombination Tablet,₹200,₹173,https://www.1mg.com/otc/dr.-reckeweg-bio-combination-20-bc-20-tablet-otc326263
Bjain Syzygium Jambolanum Mother Tincture Q,bottle of 100 ml Mother Tincture,₹195,₹146,https://www.1mg.com/otc/bjain-syzygium-jambolanum-mother-tincture-q-otc329100
SBL Aspidosperma Quebracho Mother Tincture Q,bottle of 30 ml Mother Tincture,₹220,₹200,https://www.1mg.com/otc/sbl-aspidosperma-quebracho-mother-tincture-q-otc338516
Dr Willmar Schwabe Germany Biofungin Syrup,bottle of 250 ml Syrup,₹847,₹784,https://www.1mg.com/otc/dr-willmar-schwabe-germany-biofungin-syrup-otc326130
SBL Echinacea Angustifolia Mother Tincture Q,bottle of 30 ml Mother Tincture,₹220,₹211,https://www.1mg.com/otc/sbl-echinacea-angustifolia-mother-tincture-q-otc338488
SBL Sulphur Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹108,https://www.1mg.com/otc/sbl-sulphur-dilution-200-ch-otc338173
SBL Pulsatilla Nigricans Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹85,https://www.1mg.com/otc/sbl-pulsatilla-nigricans-dilution-30-ch-otc338190
Medisynth Pilen Forte Drop,bottle of 30 ml Drop,₹175,₹160,https://www.1mg.com/otc/medisynth-pilen-forte-drop-otc375718
ADEL 28 Plevent Drop,bottle of 20 ml Drop,₹310,₹266,https://www.1mg.com/otc/adel-28-plevent-drop-otc326092
Dr. Reckeweg Arnica Mont Dilution 200 CH,bottle of 11 ml Dilution,₹170,₹165,https://www.1mg.com/otc/dr.-reckeweg-arnica-mont-dilution-200-ch-otc335897
SBL Carbo Vegetabilis Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹112,https://www.1mg.com/otc/sbl-carbo-vegetabilis-dilution-200-ch-otc338207
Bakson B33 Cough Drop,bottle of 30 ml Drop,₹185,₹147,https://www.1mg.com/otc/bakson-b33-cough-drop-otc388080
SBL Mullein Ear Drop,bottle of 10 ml Ear Drop,NA,MRP₹65,https://www.1mg.com/otc/sbl-mullein-ear-drop-otc328981
Essentia Aurea Gold Drop,bottle of 30 ml Drop,₹200,₹186,https://www.1mg.com/otc/essentia-aurea-gold-drop-otc326134
Wheezal Hekla Lava Tooth Powder,bottle of 100 gm Powder,₹130,₹110,https://www.1mg.com/otc/wheezal-hekla-lava-tooth-powder-otc438662
Dr Willmar Schwabe India Dizester Digestive Tonic Sugar Free,bottle of 500 ml Tonic,₹375,₹327,https://www.1mg.com/otc/dr-willmar-schwabe-india-dizester-digestive-tonic-sugar-free-otc492426
Dr. Reckeweg Carbo Veg Dilution 200 CH,bottle of 11 ml Dilution,₹170,₹157,https://www.1mg.com/otc/dr.-reckeweg-carbo-veg-dilution-200-ch-otc335766
SBL Drops No. 4 (For BP),bottle of 30 ml Drop,₹185,₹175,https://www.1mg.com/otc/sbl-drops-no.-4-for-bp-otc329038
Bakson's Homeopathy Astha Aid Tablet,bottle of 200 tablets,₹500,₹405,https://www.1mg.com/otc/bakson-s-homeopathy-astha-aid-tablet-otc386763
Medisynth Jondila Forte Syrup,bottle of 120 ml Syrup,₹120,₹107,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787791
Medisynth Jondila Sugar Free Syrup,bottle of 200 ml Syrup,₹170,₹166,https://www.1mg.com/otc/medisynth-jondila-sugar-free-syrup-otc339314
SBL Drops No. 8 ( For Allergic Rhinitis),bottle of 30 ml Drop,₹185,₹157,https://www.1mg.com/otc/sbl-drops-no.-8-for-allergic-rhinitis-otc339777
Medisynth Jondila Forte Syrup,bottle of 450 ml Syrup,₹320,₹300,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787798
SBL Acidum Phosphoricum Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹99,https://www.1mg.com/otc/sbl-acidum-phosphoricum-dilution-200-ch-otc345638
Dr Willmar Schwabe India Terminalia Arjuna Mother Tincture Q,bottle of 30 ml Mother Tincture,₹110,₹85,https://www.1mg.com/otc/dr-willmar-schwabe-india-terminalia-arjuna-mother-tincture-q-otc391598
Medisynth Jondila Forte Syrup,bottle of 200 ml Syrup,₹170,₹166,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787795
SBL Silicea Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹96,https://www.1mg.com/otc/sbl-silicea-dilution-200-ch-otc338177
SBL Bio-Combination 19 Tablet,bottle of 25 gm Biocombination Tablet,₹110,₹94,https://www.1mg.com/otc/sbl-bio-combination-19-tablet-otc331068
SBL Ginkgo Biloba Mother Tincture Q,bottle of 30 ml Mother Tincture,₹220,₹202,https://www.1mg.com/otc/sbl-ginkgo-biloba-mother-tincture-q-otc338479
Dr. Reckeweg Calc Fluor Dilution 30 CH,bottle of 11 ml Dilution,NA,MRP₹145,https://www.1mg.com/otc/dr.-reckeweg-calc-fluor-dilution-30-ch-otc326872
Medisynth Diabekoll Non-Sugar Syrup,bottle of 450 ml Syrup,₹320,₹270,https://www.1mg.com/otc/medisynth-diabekoll-non-sugar-syrup-otc789787
SBL Avena Sativa Mother Tincture Q,bottle of 30 ml Mother Tincture,₹105,₹101,https://www.1mg.com/otc/sbl-avena-sativa-mother-tincture-q-otc338515
Dr Willmar Schwabe India Crataegus Oxyacantha Mother Tincture Q,bottle of 30 ml Mother Tincture,₹110,₹100,https://www.1mg.com/otc/dr-willmar-schwabe-india-crataegus-oxyacantha-mother-tincture-q-otc390911
SBL Caladium Seguinum Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹79,https://www.1mg.com/otc/sbl-caladium-seguinum-dilution-30-ch-otc346065
Bakson's Homeopathy Homoeopathic Formula 'D' Tablet,bottle of 75 tablets,₹215,₹156,https://www.1mg.com/otc/bakson-s-homeopathy-homoeopathic-formula-d-tablet-otc358328
Dr. Reckeweg Bio-Combination 17 (BC 17) Tablet,bottle of 20 gm Biocombination Tablet,₹200,₹188,https://www.1mg.com/otc/dr.-reckeweg-bio-combination-17-bc-17-tablet-otc326268
Dr. Reckeweg R43 Bronchial Drop,bottle of 22 ml Drop,₹285,₹239,https://www.1mg.com/otc/dr.-reckeweg-r43-bronchial-drop-otc326030
Dr. Reckeweg Magnesium Phosphoricum Biochemic Tablet 6X,bottle of 20 gm Biochemic Tablet,₹200,₹193,https://www.1mg.com/otc/dr.-reckeweg-magnesium-phosphoricum-biochemic-tablet-6x-otc327878
SBL Cholesterinum Trituration Tablet 3X,bottle of 25 gm Trituration Tablet,₹175,₹157,https://www.1mg.com/otc/sbl-cholesterinum-trituration-tablet-3x-otc339005
SBL Calendula Officinalis Mother Tincture Q,bottle of 30 ml Mother Tincture,₹105,₹101,https://www.1mg.com/otc/sbl-calendula-officinalis-mother-tincture-q-otc338509
Dr. Reckeweg R23 Eczema Drop,bottle of 22 ml Drop,₹285,₹253,https://www.1mg.com/otc/dr.-reckeweg-r23-eczema-drop-otc326060
SBL Tranquil Tablet,bottle of 25 gm Tablet,₹165,₹145,https://www.1mg.com/otc/sbl-tranquil-tablet-otc326115
Dr Willmar Schwabe India Passiflora Incarnata Mother Tincture Q,bottle of 30 ml Mother Tincture,₹125,₹108,https://www.1mg.com/otc/dr-willmar-schwabe-india-passiflora-incarnata-mother-tincture-q-otc391475
SBL Nixocid Syrup,bottle of 500 ml Syrup,₹305,₹281,https://www.1mg.com/otc/sbl-nixocid-syrup-otc325887
ADEL 17 Glautaract Drop,bottle of 20 ml Drop,₹310,₹275,https://www.1mg.com/otc/adel-17-glautaract-drop-otc326103
Dr Willmar Schwabe India Cydonia Vulgaris Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹97,https://www.1mg.com/otc/dr-willmar-schwabe-india-cydonia-vulgaris-dilution-30-ch-otc372354
ADEL 9 Cri-Regen Drop,bottle of 20 ml Drop,₹310,₹249,https://www.1mg.com/otc/adel-9-cri-regen-drop-otc326114
Dr. Reckeweg R51 Thyroid Intoxication Drop,bottle of 22 ml Drop,₹285,₹239,https://www.1mg.com/otc/dr.-reckeweg-r51-thyroid-intoxication-drop-otc327416
New Life Aller-N Drop,bottle of 30 ml Drop,₹120,₹116,https://www.1mg.com/otc/new-life-aller-n-drop-otc325848
Dr Willmar Schwabe India Berberis Vulgaris Mother Tincture Q,bottle of 30 ml Mother Tincture,₹110,₹100,https://www.1mg.com/otc/dr-willmar-schwabe-india-berberis-vulgaris-mother-tincture-q-otc390805
ADEL 39 Apo-Sciatica Drop,bottle of 20 ml Drop,₹295,₹277,https://www.1mg.com/otc/adel-39-apo-sciatica-drop-otc326085
Dr. Reckeweg Thuja Occ Dilution 200 CH,bottle of 11 ml Dilution,₹170,₹151,https://www.1mg.com/otc/dr.-reckeweg-thuja-occ-dilution-200-ch-otc331559
SBL Acidum Phosphoricum Mother Tincture Q,bottle of 30 ml Mother Tincture,₹125,₹104,https://www.1mg.com/otc/sbl-acidum-phosphoricum-mother-tincture-q-otc338535
SBL Hamamelis Virginica Mother Tincture Q,bottle of 30 ml Mother Tincture,₹150,₹130,https://www.1mg.com/otc/sbl-hamamelis-virginica-mother-tincture-q-otc338477
ADEL 12 Dercut Drop,bottle of 20 ml Drop,₹310,₹277,https://www.1mg.com/otc/adel-12-dercut-drop-otc326110
SBL Pulsatilla Nigricans Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹91,https://www.1mg.com/otc/sbl-pulsatilla-nigricans-dilution-200-ch-otc338189
Dr Willmar Schwabe India Sabal Serrulata Mother Tincture Q,bottle of 30 ml Mother Tincture,₹335,₹268,https://www.1mg.com/otc/dr-willmar-schwabe-india-sabal-serrulata-mother-tincture-q-otc391635
SBL Diaboherb Capsule,box of 100 capsules,₹500,₹460,https://www.1mg.com/otc/sbl-diaboherb-capsule-otc329033
Medisynth Jondila Sugar Free Syrup,bottle of 200 ml Syrup,₹170,₹166,https://www.1mg.com/otc/medisynth-jondila-sugar-free-syrup-otc339314
Haslab Laxyalo Caplet,box of 10 caplets,₹45,₹41,https://www.1mg.com/otc/haslab-laxyalo-caplet-otc793319
SBL Kali Bichromicum Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹97,https://www.1mg.com/otc/sbl-kali-bichromicum-dilution-30-ch-otc338319
Dr Willmar Schwabe India Rauwolfia Serpentina Mother Tincture Q,bottle of 30 ml Mother Tincture,₹110,₹97,https://www.1mg.com/otc/dr-willmar-schwabe-india-rauwolfia-serpentina-mother-tincture-q-otc391561
Bakson's Homeopathy Spondy Aid Drop,bottle of 30 ml Drop,₹175,₹140,https://www.1mg.com/otc/bakson-s-homeopathy-spondy-aid-drop-otc326059
Lord's Ylo Tablet,bottle of 50 tablets,₹150,₹141,https://www.1mg.com/otc/lord-s-ylo-tablet-otc357512
Medisynth Jondila Forte Syrup,bottle of 120 ml Syrup,₹120,₹107,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787791
Medisynth Jondila Sugar Free Syrup,bottle of 200 ml Syrup,₹170,₹166,https://www.1mg.com/otc/medisynth-jondila-sugar-free-syrup-otc339314
Haslab Drox 24 Sciatec Drop,bottle of 30 ml Drop,₹170,₹158,https://www.1mg.com/otc/haslab-drox-24-sciatec-drop-otc339527
Medisynth Jondila Forte Syrup,bottle of 450 ml Syrup,₹320,₹300,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787798
Bakson's Homeopathy Hite Aid Tablet,bottle of 75 tablets,₹215,₹176,https://www.1mg.com/otc/bakson-s-homeopathy-hite-aid-tablet-otc327080
ADEL 2 Apo-Ham Drop,bottle of 20 ml Drop,₹310,₹245,https://www.1mg.com/otc/adel-2-apo-ham-drop-otc327734
Medisynth Jondila Forte Syrup,bottle of 200 ml Syrup,₹170,₹166,https://www.1mg.com/otc/medisynth-jondila-forte-syrup-otc787795
Dr Willmar Schwabe India Cydonia Vulgaris Mother Tincture Q,bottle of 30 ml Mother Tincture,₹275,₹192,https://www.1mg.com/otc/dr-willmar-schwabe-india-cydonia-vulgaris-mother-tincture-q-otc453360
SBL Fucus Vesiculosus Mother Tincture Q,bottle of 30 ml Mother Tincture,₹150,₹141,https://www.1mg.com/otc/sbl-fucus-vesiculosus-mother-tincture-q-otc338484
Bangalore Bio-Plasgens Soundarya Complexion Cream,tube of 30 gm Cream,₹110,₹105,https://www.1mg.com/otc/bangalore-bio-plasgens-soundarya-complexion-cream-otc388383
Hapdco Marks Go Cream,tube of 25 gm Cream,₹110,₹91,https://www.1mg.com/otc/hapdco-marks-go-cream-otc350392
Medisynth Diabekoll Non-Sugar Syrup,bottle of 450 ml Syrup,₹320,₹270,https://www.1mg.com/otc/medisynth-diabekoll-non-sugar-syrup-otc789787
SBL Cephalandra Indica Mother Tincture Q,bottle of 30 ml Mother Tincture,₹105,₹97,https://www.1mg.com/otc/sbl-cephalandra-indica-mother-tincture-q-otc338504
SBL AF-Tabs Tablet,bottle of 25 gm Tablet,₹165,₹133,https://www.1mg.com/otc/sbl-af-tabs-tablet-otc328992
Wheezal Arnica Hair N Scalp Treatment Homeopathic Medicine,bottle of 200 ml Liquid,₹200,₹193,https://www.1mg.com/otc/wheezal-arnica-hair-n-scalp-treatment-homeopathic-medicine-otc339198
SBL Homeocal Tablet,bottle of 450 gm Tablet,₹865,₹684,https://www.1mg.com/otc/sbl-homeocal-tablet-otc812926
SBL Ruta Graveolens Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹112,https://www.1mg.com/otc/sbl-ruta-graveolens-dilution-200-ch-otc348620
Allen Snorid Drop,bottle of 30 ml Drop,₹170,₹153,https://www.1mg.com/otc/allen-snorid-drop-otc330383
Dr. Reckeweg Belladonna Dilution 30 CH,bottle of 11 ml Dilution,₹145,₹123,https://www.1mg.com/otc/dr.-reckeweg-belladonna-dilution-30-ch-otc326889
Dr Willmar Schwabe India Fucus Vesiculosus Mother Tincture Q,bottle of 30 ml Mother Tincture,₹150,₹124,https://www.1mg.com/otc/dr-willmar-schwabe-india-fucus-vesiculosus-mother-tincture-q-otc390987
Dr. Reckeweg Biochemic Combination 25 (BC 25) Tablet,bottle of 20 gm Biocombination Tablet,₹200,₹185,https://www.1mg.com/otc/dr.-reckeweg-biochemic-combination-25-bc-25-tablet-otc326257
SBL Arnica Montana Herbal Shampoo With Conditioner,bottle of 200 ml Conditioner,NA,MRP₹180,https://www.1mg.com/otc/sbl-arnica-montana-herbal-shampoo-with-conditioner-otc330953
Wheezal Jaborandi Hair Treatment Oil,bottle of 110 ml Oil,₹160,₹117,https://www.1mg.com/otc/wheezal-jaborandi-hair-treatment-oil-otc339194
Dr. Reckeweg R95 Alfalfa Tonic,bottle of 250 ml Tonic,₹685,₹620,https://www.1mg.com/otc/dr.-reckeweg-r95-alfalfa-tonic-otc336743
SBL Antimonium Tartaricum Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹93,https://www.1mg.com/otc/sbl-antimonium-tartaricum-dilution-30-ch-otc338380
SBL Thuja Occidentalis Mother Tincture Q,bottle of 30 ml Mother Tincture,₹150,₹123,https://www.1mg.com/otc/sbl-thuja-occidentalis-mother-tincture-q-otc338408
Dr Willmar Schwabe India Withania Somnifera (Aswagandha) Mother Tincture Q,bottle of 30 ml Mother Tincture,₹110,₹96,https://www.1mg.com/otc/dr-willmar-schwabe-india-withania-somnifera-aswagandha-mother-tincture-q-otc391463
SBL Urtica Urens Mother Tincture Q,bottle of 30 ml Mother Tincture,₹105,₹100,https://www.1mg.com/otc/sbl-urtica-urens-mother-tincture-q-otc338407
Dr Willmar Schwabe India Ruck-Pain,bottle of 30 ml Liquid,₹195,₹156,https://www.1mg.com/otc/dr-willmar-schwabe-india-ruck-pain-otc784648
ADEL 36 Pollon Drop,bottle of 20 ml Drop,₹310,₹268,https://www.1mg.com/otc/adel-36-pollon-drop-otc325883
Wheezal Power Up+ Drop,bottle of 30 ml Drop,₹400,₹352,https://www.1mg.com/otc/wheezal-power-up-drop-otc339243
SBL Vertefine Drop,bottle of 30 ml Drop,₹150,₹118,https://www.1mg.com/otc/sbl-vertefine-drop-otc328991
Dr. Reckeweg R89 Hair Care Drop (30ml Each),combo pack of 2 bottles,₹620,₹558,https://www.1mg.com/otc/dr.-reckeweg-r89-hair-care-drop-30ml-each-otc870813
Bakson's Homeopathy Magnesium Phosphoricum Biochemic Tablet 6X,bottle of 250 biochemic tablets,₹120,₹93,https://www.1mg.com/otc/bakson-s-homeopathy-magnesium-phosphoricum-biochemic-tablet-6x-otc695224
SBL Allium Cepa Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹97,https://www.1mg.com/otc/sbl-allium-cepa-dilution-30-ch-otc338390
Dr Willmar Schwabe India Hydrastis Canadensis Mother Tincture Q,bottle of 30 ml Mother Tincture,₹515,₹431,https://www.1mg.com/otc/dr-willmar-schwabe-india-hydrastis-canadensis-mother-tincture-q-otc391074
Dr. Reckeweg Bryonia Alba Dilution 30 CH,bottle of 11 ml Dilution,₹145,₹140,https://www.1mg.com/otc/dr.-reckeweg-bryonia-alba-dilution-30-ch-otc326880
Bakson's Homeopathy Natrum Sulphuricum Biochemic Tablet 6X,bottle of 4500 biochemic tablets,₹720,₹700,https://www.1mg.com/otc/bakson-s-homeopathy-natrum-sulphuricum-biochemic-tablet-6x-otc695564
